Registration No.,Name,Age,Gender,Education,Interest,Emotional Stability (%),Conscientiousness (%),Openness (%),Thinking Score,Extroversion (%),Agreeableness (%),Neuroticism (%),Dominance (%),Risk Taking (%)
1,Ishita,15,Female,School,Photography,27,23,52,83,24,88,5,8,33
3,Ishita,94,Female,Graduation,Gaming,64,16,61,11,24,96,90,86,5
5,Kabir,46,Male,School,Music,53,75,38,21,49,18,43,81,57
11,Riya,14,Male,School,Reading,76,25,81,76,73,26,48,85,91
15,Kabir,1,Male,School,Photography,98,57,74,74,2,52,7,62,55
20,Vivaan,15,Male,Post Graduation,Gaming,10,34,85,36,48,51,7,78,57
21,Priya,25,Female,Post Graduation,Dancing,50,23,26,88,32,18,36,56,49
27,Riya,59,Male,School,Gaming,4,75,52,96,8,82,2,91,51
32,Aarav,7,Female,School,Traveling,1,58,59,92,86,73,59,14,90
42,Vihaan,58,Male,School,Painting,31,22,76,80,10,93,68,52,97
45,Myra,3,Male,School,Dancing,96,23,68,59,60,59,79,20,65
49,Kabir,35,Female,Post Graduation,Cooking,36,63,82,15,100,45,32,66,72
50,Krishna,43,Female,Post Graduation,Sports,44,81,58,69,7,23,13,91,57
56,Aryan,40,Female,Post Graduation,Music,72,18,94,35,29,4,47,11,60
58,Diya,95,Male,Graduation,Music,74,65,68,61,0,59,29,52,38
59,Arjun,65,Male,School,Photography,34,76,98,54,91,51,67,22,78
69,Ananya,82,Male,Post Graduation,Cooking,68,26,65,100,41,92,43,26,82
82,Zara,22,Male,Post Graduation,Sports,29,34,44,56,63,60,85,97,17
90,Ishita,79,Male,Post Graduation,Painting,83,25,47,86,63,26,13,9,89
93,Vihaan,5,Male,Graduation,Writing,67,84,78,47,49,32,45,81,4
98,Krishna,72,Male,Post Graduation,Reading,45,28,75,2,40,27,66,73,100
106,Arjun,30,Female,Graduation,Painting,74,36,61,23,50,68,11,64,54
111,Aryan,45,Female,School,Gaming,1,96,73,45,31,40,37,1,45
112,Sanya,1,Female,Graduation,Sports,44,67,84,23,75,12,89,35,26
114,Aarav,25,Female,Graduation,Writing,24,26,28,64,25,86,95,42,37
117,Arjun,80,Female,Graduation,Reading,13,13,1,10,54,92,100,72,19
119,Krishna,54,Female,Post Graduation,Music,49,34,60,89,20,54,79,53,27
120,Priya,90,Male,School,Writing,40,45,36,41,4,51,96,53,47
128,Ananya,4,Female,School,Reading,24,16,74,71,30,66,74,59,19
134,Aditya,52,Male,School,Music,86,63,2,49,15,8,58,4,13
139,Krishna,3,Female,Post Graduation,Writing,96,52,66,22,30,67,8,21,75
141,Aditya,23,Female,Post Graduation,Writing,35,65,66,63,48,7,94,93,87
